Date,District/City,Minimum Rate,Maximum Rate,Average Rate
11/26/2023,Shikarpur,3990,4230,4110
11/26/2023,Sukkur,3660,4050,3855
11/26/2023,Dadu,3800,4150,3975
11/26/2023,Hyderabad,4080,4290,4185
11/26/2023,Ghotki,4030,4140,4085
11/26/2023,Jhuddo,4060,4300,4180
11/26/2023,Karachi,3680,3820,3750
11/26/2023,Kunri,3710,3990,3850
11/26/2023,Larkana,3610,3690,3650
11/26/2023,Mehrabpur,4030,4330,4180
11/26/2023,Mirpur Khas,3650,3740,3695
11/26/2023,Nawab Shah,3750,4350,4050
11/26/2023,Sakrand,3630,4180,3905
11/26/2023,Sanghar,3650,3680,3665
11/26/2023,ShahdadPur,3750,4150,3950
11/26/2023,Tando Allah Yar,3750,4300,4025
11/26/2023,Tando Muhammad Khan,3620,4120,3870
11/26/2023,Sibi,3810,3890,3850
11/26/2023,Quetta,3980,4270,4125
11/26/2023,Bara,3740,4090,3915
11/26/2023,Landi Kotal,3880,4050,3965
11/27/2023,Bunner,4140,4240,4190
11/27/2023,Mardan,3830,4210,4020
11/27/2023,Peshawar,3660,4030,3845
11/27/2023,Arifwala,3760,4260,4010
11/27/2023,Chowk Azam,4020,4180,4100
11/27/2023,Pattoki,4010,4110,4060
11/27/2023,Sahiwal,4040,4150,4095
11/27/2023,Gojra,4080,4260,4170
11/27/2023,Kamalia,4040,4380,4210
11/27/2023,Kasur,3810,4230,4020
11/27/2023,Shorkot,4320,4360,4340
11/27/2023,Sialkot,3810,4330,4070
11/27/2023,Ali Pur,4040,4240,4140
11/27/2023,AhmadPur Sharqia,3820,4310,4065
11/27/2023,Bahawalnagar,3670,3680,3675
11/27/2023,Bahawalpur,4060,4290,4175
11/27/2023,Bhakkar,3860,4280,4070
11/27/2023,Burewala,3820,4070,3945
11/27/2023,Chichawatni,3850,3900,3875
11/27/2023,Chishtian,3820,3890,3855
11/27/2023,Chakwal,3770,4290,4030
11/27/2023,Chowk Munda,3860,4340,4100
11/27/2023,Dera Ghazi Khan,3740,4100,3920
11/27/2023,Dunga Bunga,3720,3780,3750
11/27/2023,Faisalabad,3860,4270,4065
11/27/2023,Faqirwali,3990,4140,4065
11/27/2023,Fazil Pur,4090,4330,4210
11/27/2023,Fortabbas,3850,4270,4060
11/27/2023,Gujranwala,3930,4240,4085
11/27/2023,Haroonabad,3860,4140,4000
11/27/2023,Hasilpur,4120,4340,4230
11/27/2023,Islamabad,3600,4100,3850
11/27/2023,Kahror Pakka,3620,4350,3985
11/27/2023,Khanpur,3610,4120,3865
11/27/2023,khanewal,3690,4290,3990
11/27/2023,Layyah,3810,3900,3855
11/27/2023,Lahore,4180,4220,4200
11/27/2023,Lodhran,3650,4310,3980
11/27/2023,Multan,3750,3950,3850
11/27/2023,Mianwali,4110,4360,4235
11/27/2023,Mian Channu,3670,3770,3720
11/27/2023,Minchanabad,3740,3760,3750
11/27/2023,Muzaffargarh,3800,3990,3895
11/27/2023,Okara,4220,4390,4305
11/27/2023,Pakpattan Sharif,3620,4120,3870
11/27/2023,Rahim Yar Khan,3750,3860,3805
11/27/2023,Rajanpur,3670,4350,4010
11/27/2023,Rawalpindi,3900,4280,4090
11/27/2023,Sadiqabad,4070,4400,4235
11/27/2023,Sargodha,4090,4270,4180
11/27/2023,Sheikhupura,3960,4120,4040
11/27/2023,Vehari,3720,3970,3845
11/27/2023,Naushahro Feroze,3740,3830,3785
11/27/2023,Shikarpur,3640,3830,3735
11/27/2023,Sukkur,4080,4360,4220
11/27/2023,Dadu,3980,4340,4160
11/27/2023,Hyderabad,4000,4080,4040
11/27/2023,Ghotki,3640,4120,3880
11/27/2023,Jhuddo,4000,4170,4085
11/27/2023,Karachi,3720,4100,3910
11/27/2023,Kunri,3650,3670,3660
11/27/2023,Larkana,3930,4290,4110
11/27/2023,Mehrabpur,3820,3840,3830
11/27/2023,Mirpur Khas,3960,4020,3990
11/27/2023,Nawab Shah,3880,3920,3900
11/27/2023,Sakrand,3610,3640,3625
11/27/2023,Sanghar,4030,4180,4105
11/27/2023,ShahdadPur,4080,4150,4115
11/27/2023,Tando Allah Yar,4190,4190,4190
11/27/2023,Tando Muhammad Khan,3960,4110,4035
11/27/2023,Sibi,3750,3870,3810
11/27/2023,Quetta,4350,4370,4360
11/27/2023,Bara,3890,4160,4025
11/27/2023,Landi Kotal,3630,3950,3790
11/28/2023,Bunner,3660,4200,3930
11/28/2023,Mardan,4100,4340,4220
11/28/2023,Peshawar,3870,4150,4010
11/28/2023,Arifwala,3650,4320,3985
11/28/2023,Chowk Azam,3930,4020,3975
11/28/2023,Pattoki,3600,3900,3750
11/28/2023,Sahiwal,3620,4320,3970
11/28/2023,Gojra,3730,4100,3915
11/28/2023,Kamalia,3790,4080,3935
11/28/2023,Kasur,3910,4170,4040
11/28/2023,Shorkot,4290,4300,4295
11/28/2023,Sialkot,3910,4260,4085
11/28/2023,Ali Pur,3680,3760,3720
11/28/2023,AhmadPur Sharqia,3650,3990,3820
11/28/2023,Bahawalnagar,3940,4280,4110
11/28/2023,Bahawalpur,3860,4280,4070
11/28/2023,Bhakkar,3980,4300,4140
11/28/2023,Burewala,4340,4400,4370
11/28/2023,Chichawatni,3620,3980,3800
11/28/2023,Chishtian,4100,4390,4245
11/28/2023,Chakwal,3740,3980,3860
11/28/2023,Chowk Munda,3700,3870,3785
11/28/2023,Dera Ghazi Khan,4100,4160,4130
11/28/2023,Dunga Bunga,4160,4170,4165
11/28/2023,Faisalabad,4050,4260,4155
11/28/2023,Faqirwali,3870,4320,4095
11/28/2023,Fazil Pur,4280,4360,4320
11/28/2023,Fortabbas,3670,3710,3690
11/28/2023,Gujranwala,4050,4380,4215
11/28/2023,Haroonabad,3840,4290,4065
11/28/2023,Hasilpur,3860,4000,3930
11/28/2023,Islamabad,3630,3910,3770
11/28/2023,Kahror Pakka,4060,4210,4135
11/28/2023,Khanpur,3660,4380,4020
11/28/2023,khanewal,3850,3890,3870
11/28/2023,Layyah,4090,4140,4115
11/28/2023,Lahore,3630,3900,3765
11/28/2023,Lodhran,3750,3980,3865
11/28/2023,Multan,4080,4190,4135
11/28/2023,Mianwali,3620,3880,3750
11/28/2023,Mian Channu,3800,4290,4045
11/28/2023,Minchanabad,4020,4370,4195
11/28/2023,Muzaffargarh,3710,4070,3890
11/28/2023,Okara,3690,3850,3770
11/28/2023,Pakpattan Sharif,3880,4190,4035
11/28/2023,Rahim Yar Khan,3880,4040,3960
11/28/2023,Rajanpur,3710,4140,3925
11/28/2023,Rawalpindi,4090,4290,4190
11/28/2023,Sadiqabad,4020,4290,4155
11/28/2023,Sargodha,4280,4320,4300
11/28/2023,Sheikhupura,3900,4240,4070
11/28/2023,Vehari,3790,3900,3845
11/28/2023,Naushahro Feroze,3950,4280,4115
11/28/2023,Shikarpur,3650,4080,3865
11/28/2023,Sukkur,4000,4250,4125
11/28/2023,Dadu,4190,4350,4270
11/28/2023,Hyderabad,3840,3890,3865
11/28/2023,Ghotki,3710,4240,3975
11/28/2023,Jhuddo,4110,4220,4165
11/28/2023,Karachi,3710,3860,3785
11/28/2023,Kunri,3620,4250,3935
11/28/2023,Larkana,4130,4370,4250
11/28/2023,Mehrabpur,4060,4310,4185
11/28/2023,Mirpur Khas,3720,4360,4040
11/28/2023,Nawab Shah,3680,4260,3970
11/28/2023,Sakrand,4170,4220,4195
11/28/2023,Sanghar,4130,4280,4205
11/28/2023,ShahdadPur,4130,4340,4235
11/28/2023,Tando Allah Yar,3610,3720,3665
11/28/2023,Tando Muhammad Khan,3960,4300,4130
11/28/2023,Sibi,3700,4070,3885
11/28/2023,Quetta,3900,4230,4065
11/28/2023,Bara,3780,4260,4020
11/28/2023,Landi Kotal,3720,4360,4040
11/29/2023,Bunner,3990,4190,4090
11/29/2023,Mardan,3960,4380,4170
11/29/2023,Peshawar,4030,4200,4115
11/29/2023,Arifwala,3810,4240,4025
11/29/2023,Chowk Azam,4100,4340,4220
11/29/2023,Pattoki,3960,4300,4130
11/29/2023,Sahiwal,4000,4340,4170
11/29/2023,Gojra,3690,4200,3945
11/29/2023,Kamalia,3770,4260,4015
11/29/2023,Kasur,3830,3970,3900
11/29/2023,Shorkot,3850,4320,4085
11/29/2023,Sialkot,3920,4320,4120
11/29/2023,Ali Pur,3900,4310,4105
11/29/2023,AhmadPur Sharqia,3820,3940,3880
11/29/2023,Bahawalnagar,3770,4010,3890
11/29/2023,Bahawalpur,4100,4390,4245
11/29/2023,Bhakkar,3930,3940,3935
11/29/2023,Burewala,3710,3970,3840
11/29/2023,Chichawatni,4060,4120,4090
11/29/2023,Chishtian,4170,4260,4215
11/29/2023,Chakwal,3900,4270,4085
11/29/2023,Chowk Munda,3830,4230,4030
11/29/2023,Dera Ghazi Khan,3820,3880,3850
11/29/2023,Dunga Bunga,4030,4300,4165
11/29/2023,Faisalabad,3930,4260,4095
11/29/2023,Faqirwali,3990,4200,4095
11/29/2023,Fazil Pur,4110,4360,4235
11/29/2023,Fortabbas,3690,3990,3840
11/29/2023,Gujranwala,3670,4290,3980
11/29/2023,Haroonabad,4150,4360,4255
11/29/2023,Hasilpur,3730,4230,3980
11/29/2023,Islamabad,3880,3950,3915
11/29/2023,Kahror Pakka,4230,4340,4285
11/29/2023,Khanpur,4070,4270,4170
11/29/2023,khanewal,4090,4310,4200
11/29/2023,Layyah,4070,4230,4150
11/29/2023,Lahore,3740,4030,3885
11/29/2023,Lodhran,3740,4400,4070
11/29/2023,Multan,3640,4030,3835
11/29/2023,Mianwali,3950,4120,4035
11/29/2023,Mian Channu,4270,4290,4280
11/29/2023,Minchanabad,3950,4370,4160
11/29/2023,Muzaffargarh,3720,4210,3965
11/29/2023,Okara,3830,4080,3955
11/29/2023,Pakpattan Sharif,3700,3830,3765
11/29/2023,Rahim Yar Khan,3940,4190,4065
11/29/2023,Rajanpur,3660,3950,3805
11/29/2023,Rawalpindi,3790,3860,3825
11/29/2023,Sadiqabad,4230,4240,4235
11/29/2023,Sargodha,4100,4170,4135
11/29/2023,Sheikhupura,4080,4140,4110
11/29/2023,Vehari,4180,4250,4215
11/29/2023,Naushahro Feroze,3930,4100,4015
11/29/2023,Shikarpur,3990,4300,4145
11/29/2023,Sukkur,3630,4290,3960
11/29/2023,Dadu,3910,4010,3960
11/29/2023,Hyderabad,3610,3970,3790
11/29/2023,Ghotki,3870,4230,4050
11/29/2023,Jhuddo,4200,4220,4210
11/29/2023,Karachi,4000,4240,4120
11/29/2023,Kunri,3840,4220,4030
11/29/2023,Larkana,3880,3880,3880
11/29/2023,Mehrabpur,3750,4150,3950
11/29/2023,Mirpur Khas,3970,4140,4055
11/29/2023,Nawab Shah,3690,4250,3970
11/29/2023,Sakrand,4190,4330,4260
11/29/2023,Sanghar,3800,4250,4025
11/29/2023,ShahdadPur,3830,4310,4070
11/29/2023,Tando Allah Yar,4190,4370,4280
11/29/2023,Tando Muhammad Khan,3890,3950,3920
11/29/2023,Sibi,3870,4130,4000
11/29/2023,Quetta,3780,3930,3855
11/29/2023,Bara,4290,4370,4330
11/29/2023,Landi Kotal,3640,4320,3980
11/30/2023,Bunner,3660,3960,3810
11/30/2023,Mardan,3980,4400,4190
11/30/2023,Peshawar,4020,4380,4200
11/30/2023,Arifwala,4040,4250,4145
11/30/2023,Chowk Azam,3660,4200,3930
11/30/2023,Pattoki,3720,4210,3965
11/30/2023,Sahiwal,3830,4210,4020
11/30/2023,Gojra,3790,3840,3815
11/30/2023,Kamalia,4080,4100,4090
11/30/2023,Kasur,4230,4360,4295
11/30/2023,Shorkot,4160,4380,4270
11/30/2023,Sialkot,3680,4340,4010
11/30/2023,Ali Pur,3620,3920,3770
11/30/2023,AhmadPur Sharqia,3630,4250,3940
11/30/2023,Bahawalnagar,3670,3980,3825
11/30/2023,Bahawalpur,3710,4070,3890
11/30/2023,Bhakkar,4020,4290,4155
11/30/2023,Burewala,3640,3800,3720
11/30/2023,Chichawatni,4250,4360,4305
11/30/2023,Chishtian,3980,4100,4040
11/30/2023,Chakwal,3780,4390,4085
11/30/2023,Chowk Munda,3700,3720,3710
11/30/2023,Dera Ghazi Khan,3920,4330,4125
11/30/2023,Dunga Bunga,4020,4180,4100
11/30/2023,Faisalabad,4040,4100,4070
11/30/2023,Faqirwali,3600,3750,3675
11/30/2023,Fazil Pur,3950,4370,4160
11/30/2023,Fortabbas,3790,4300,4045
11/30/2023,Gujranwala,3720,4080,3900
11/30/2023,Haroonabad,3610,4300,3955
11/30/2023,Hasilpur,3740,3990,3865
11/30/2023,Islamabad,3760,4020,3890
11/30/2023,Kahror Pakka,4340,4360,4350
11/30/2023,Khanpur,3740,4010,3875
11/30/2023,khanewal,3640,4110,3875
11/30/2023,Layyah,4170,4250,4210
11/30/2023,Lahore,4010,4030,4020
11/30/2023,Lodhran,3970,3990,3980
11/30/2023,Multan,3660,4400,4030
11/30/2023,Mianwali,3790,3980,3885
11/30/2023,Mian Channu,4000,4260,4130
11/30/2023,Minchanabad,3630,4060,3845
11/30/2023,Muzaffargarh,3610,4210,3910
11/30/2023,Okara,3690,3890,3790
11/30/2023,Pakpattan Sharif,4030,4260,4145
11/30/2023,Rahim Yar Khan,3840,3990,3915
11/30/2023,Rajanpur,3720,3760,3740
11/30/2023,Rawalpindi,3600,3840,3720
11/30/2023,Sadiqabad,3730,4040,3885
11/30/2023,Sargodha,3980,4260,4120
11/30/2023,Sheikhupura,3850,4100,3975
11/30/2023,Vehari,3840,3860,3850
11/30/2023,Naushahro Feroze,3810,4090,3950
11/30/2023,Shikarpur,3740,4140,3940
11/30/2023,Sukkur,3710,4080,3895
11/30/2023,Dadu,3930,4340,4135
11/30/2023,Hyderabad,3720,4310,4015
11/30/2023,Ghotki,4100,4120,4110
11/30/2023,Jhuddo,3830,3930,3880
11/30/2023,Karachi,4190,4240,4215
11/30/2023,Kunri,4130,4340,4235
11/30/2023,Larkana,3630,4080,3855
11/30/2023,Mehrabpur,3990,4160,4075
11/30/2023,Mirpur Khas,3830,3840,3835
11/30/2023,Nawab Shah,4220,4310,4265
11/30/2023,Sakrand,3600,4020,3810
11/30/2023,Sanghar,3730,4060,3895
11/30/2023,ShahdadPur,3890,4330,4110
11/30/2023,Tando Allah Yar,4230,4320,4275
11/30/2023,Tando Muhammad Khan,3620,3790,3705
11/30/2023,Sibi,4210,4220,4215
11/30/2023,Quetta,4090,4320,4205
11/30/2023,Bara,3800,3840,3820
11/30/2023,Landi Kotal,3970,4170,4070
12/1/2023,Bunner,4110,4210,4160
12/1/2023,Mardan,3960,4310,4135
12/1/2023,Peshawar,3780,4000,3890
12/1/2023,Arifwala,3630,4000,3815
12/1/2023,Chowk Azam,4130,4310,4220
12/1/2023,Pattoki,4160,4330,4245
12/1/2023,Sahiwal,3610,4390,4000
12/1/2023,Gojra,3750,4150,3950
12/1/2023,Kamalia,3920,4090,4005
12/1/2023,Kasur,3690,3810,3750
12/1/2023,Shorkot,4000,4390,4195
12/1/2023,Sialkot,4120,4390,4255
12/1/2023,Ali Pur,4070,4300,4185
12/1/2023,AhmadPur Sharqia,3640,4170,3905
12/1/2023,Bahawalnagar,3910,4300,4105
12/1/2023,Bahawalpur,3690,4250,3970
12/1/2023,Bhakkar,4030,4040,4035
12/1/2023,Burewala,3760,4070,3915
12/1/2023,Chichawatni,4190,4210,4200
12/1/2023,Chishtian,4090,4380,4235
12/1/2023,Chakwal,4370,4380,4375
12/1/2023,Chowk Munda,3690,4330,4010
12/1/2023,Dera Ghazi Khan,4290,4300,4295
12/1/2023,Dunga Bunga,3970,4370,4170
12/1/2023,Faisalabad,3620,4150,3885
12/1/2023,Faqirwali,3640,3990,3815
12/1/2023,Fazil Pur,4000,4090,4045
12/1/2023,Fortabbas,3740,3860,3800
12/1/2023,Gujranwala,3610,4020,3815
12/1/2023,Haroonabad,3870,4340,4105
12/1/2023,Hasilpur,3920,4000,3960
12/1/2023,Islamabad,3610,3750,3680
12/1/2023,Kahror Pakka,4050,4270,4160
12/1/2023,Khanpur,4180,4320,4250
12/1/2023,khanewal,3610,4100,3855
12/1/2023,Layyah,3770,4190,3980
12/1/2023,Lahore,4180,4290,4235
12/1/2023,Lodhran,3790,4080,3935
12/1/2023,Multan,4200,4230,4215
12/1/2023,Mianwali,3830,4260,4045
12/1/2023,Mian Channu,3670,3680,3675
12/1/2023,Minchanabad,3760,4280,4020
12/1/2023,Muzaffargarh,3910,4020,3965
12/1/2023,Okara,3640,4000,3820
12/1/2023,Pakpattan Sharif,3710,4230,3970
12/1/2023,Rahim Yar Khan,3650,4060,3855
12/1/2023,Rajanpur,4050,4230,4140
12/1/2023,Rawalpindi,4000,4020,4010
12/1/2023,Sadiqabad,3790,4280,4035
12/1/2023,Sargodha,3800,4320,4060
12/1/2023,Sheikhupura,3900,4220,4060
12/1/2023,Vehari,3610,4060,3835
12/1/2023,Naushahro Feroze,3800,4090,3945
12/1/2023,Shikarpur,3690,3930,3810
12/1/2023,Sukkur,4270,4390,4330
12/1/2023,Dadu,3940,4270,4105
12/1/2023,Hyderabad,3740,4220,3980
12/1/2023,Ghotki,3880,4040,3960
12/1/2023,Jhuddo,3650,4330,3990
12/1/2023,Karachi,3770,3950,3860
12/1/2023,Kunri,3630,4190,3910
12/1/2023,Larkana,3620,4180,3900
12/1/2023,Mehrabpur,4060,4130,4095
12/1/2023,Mirpur Khas,3810,3840,3825
12/1/2023,Nawab Shah,3880,4070,3975
12/1/2023,Sakrand,3760,3860,3810
12/1/2023,Sanghar,3800,4060,3930
12/1/2023,ShahdadPur,3710,4090,3900
12/1/2023,Tando Allah Yar,3610,4170,3890
12/1/2023,Tando Muhammad Khan,3750,4100,3925
12/1/2023,Sibi,3610,3630,3620
12/1/2023,Quetta,3660,3810,3735
12/1/2023,Bara,4210,4380,4295
12/1/2023,Landi Kotal,3750,3950,3850
12/2/2023,Bunner,3910,4090,4000
12/2/2023,Mardan,4100,4310,4205
12/2/2023,Peshawar,3920,4390,4155
12/2/2023,Arifwala,3810,4150,3980
12/2/2023,Chowk Azam,3710,3820,3765
12/2/2023,Pattoki,4060,4140,4100
12/2/2023,Sahiwal,4380,4390,4385
12/2/2023,Gojra,4180,4220,4200
12/2/2023,Kamalia,3720,4300,4010
12/2/2023,Kasur,3770,3950,3860
12/2/2023,Shorkot,4110,4130,4120
12/2/2023,Sialkot,4080,4140,4110
12/2/2023,Ali Pur,4180,4180,4180
12/2/2023,AhmadPur Sharqia,4270,4370,4320
12/2/2023,Bahawalnagar,4200,4340,4270
12/2/2023,Bahawalpur,3800,4290,4045
12/2/2023,Bhakkar,3700,4160,3930
12/2/2023,Burewala,3710,3980,3845
12/2/2023,Chichawatni,3950,4120,4035
12/2/2023,Chishtian,3720,4170,3945
12/2/2023,Chakwal,3810,4040,3925
12/2/2023,Chowk Munda,3650,4380,4015
12/2/2023,Dera Ghazi Khan,4010,4220,4115
12/2/2023,Dunga Bunga,3730,3930,3830
12/2/2023,Faisalabad,3820,4270,4045
12/2/2023,Faqirwali,3850,4060,3955
12/2/2023,Fazil Pur,4110,4360,4235
12/2/2023,Fortabbas,4150,4240,4195
12/2/2023,Gujranwala,4020,4110,4065
12/2/2023,Haroonabad,3650,4170,3910
12/2/2023,Hasilpur,3730,4390,4060
12/2/2023,Islamabad,3810,3840,3825
12/2/2023,Kahror Pakka,3830,4140,3985
12/2/2023,Khanpur,3840,4050,3945
12/2/2023,khanewal,3730,4320,4025
12/2/2023,Layyah,3970,4250,4110
12/2/2023,Lahore,3820,4370,4095
12/2/2023,Lodhran,3690,4180,3935
12/2/2023,Multan,4020,4370,4195
12/2/2023,Mianwali,3850,4010,3930
12/2/2023,Mian Channu,3680,4370,4025
12/2/2023,Minchanabad,3930,4170,4050
12/2/2023,Muzaffargarh,3880,3960,3920
12/2/2023,Okara,3740,3860,3800
12/2/2023,Pakpattan Sharif,4030,4140,4085
12/2/2023,Rahim Yar Khan,4070,4100,4085
12/2/2023,Rajanpur,4240,4300,4270
12/2/2023,Rawalpindi,4030,4320,4175
12/2/2023,Sadiqabad,4240,4360,4300
12/2/2023,Sargodha,3680,4330,4005
12/2/2023,Sheikhupura,4110,4260,4185
12/2/2023,Vehari,3780,4160,3970
12/2/2023,Naushahro Feroze,3770,4090,3930
12/2/2023,Shikarpur,3890,4290,4090
12/2/2023,Sukkur,3810,4350,4080
12/2/2023,Dadu,3980,4240,4110
12/2/2023,Hyderabad,3620,4100,3860
12/2/2023,Ghotki,3600,3820,3710
12/2/2023,Jhuddo,3600,3700,3650
12/2/2023,Karachi,3870,4230,4050
12/2/2023,Kunri,3830,4360,4095
12/2/2023,Larkana,4140,4270,4205
12/2/2023,Mehrabpur,3680,4320,4000
12/2/2023,Mirpur Khas,3770,3820,3795
12/2/2023,Nawab Shah,3950,4320,4135
12/2/2023,Sakrand,4150,4330,4240
12/2/2023,Sanghar,4080,4100,4090
12/2/2023,ShahdadPur,3640,4210,3925
12/2/2023,Tando Allah Yar,3960,4010,3985
12/2/2023,Tando Muhammad Khan,4360,4360,4360
12/2/2023,Sibi,4220,4350,4285
12/2/2023,Quetta,3830,4250,4040
12/2/2023,Bara,3970,4010,3990
12/2/2023,Landi Kotal,4200,4300,4250
12/3/2023,Bunner,4110,4180,4145
12/3/2023,Mardan,3910,4220,4065
12/3/2023,Peshawar,3930,4140,4035
12/3/2023,Arifwala,4030,4200,4115
12/3/2023,Chowk Azam,4170,4320,4245
12/3/2023,Pattoki,4030,4300,4165
12/3/2023,Sahiwal,4000,4270,4135
12/3/2023,Gojra,4230,4270,4250
12/3/2023,Kamalia,4380,4380,4380
12/3/2023,Kasur,3760,3840,3800
12/3/2023,Shorkot,3910,4090,4000
12/3/2023,Sialkot,3830,3880,3855
12/3/2023,Ali Pur,3850,4380,4115
12/3/2023,AhmadPur Sharqia,3980,4260,4120
12/3/2023,Bahawalnagar,4180,4200,4190
12/3/2023,Bahawalpur,3620,4040,3830
12/3/2023,Bhakkar,3660,3920,3790
12/3/2023,Burewala,3670,4050,3860
12/3/2023,Chichawatni,3880,4210,4045
12/3/2023,Chishtian,3970,4390,4180
12/3/2023,Chakwal,4240,4360,4300
12/3/2023,Chowk Munda,4090,4340,4215
12/3/2023,Dera Ghazi Khan,3770,4020,3895
12/3/2023,Dunga Bunga,3840,3970,3905
12/3/2023,Faisalabad,3730,4160,3945
12/3/2023,Faqirwali,3610,4150,3880
12/3/2023,Fazil Pur,4220,4350,4285
12/3/2023,Fortabbas,4010,4020,4015
12/3/2023,Gujranwala,3670,4090,3880
12/3/2023,Haroonabad,3610,4210,3910
12/3/2023,Hasilpur,3760,4260,4010
12/3/2023,Islamabad,3820,4190,4005
12/3/2023,Kahror Pakka,4100,4240,4170
12/3/2023,Khanpur,3760,3980,3870
12/3/2023,khanewal,3660,3900,3780
12/3/2023,Layyah,3900,4290,4095
12/3/2023,Lahore,4160,4290,4225
12/3/2023,Lodhran,3960,4120,4040
12/3/2023,Multan,3910,4340,4125
12/3/2023,Mianwali,3710,3970,3840
12/3/2023,Mian Channu,3800,4050,3925
12/3/2023,Minchanabad,4270,4360,4315
12/3/2023,Muzaffargarh,3710,3940,3825
12/3/2023,Okara,3670,4210,3940
12/3/2023,Pakpattan Sharif,4020,4360,4190
12/3/2023,Rahim Yar Khan,3800,3800,3800
12/3/2023,Rajanpur,4210,4330,4270
12/3/2023,Rawalpindi,3950,4130,4040
12/3/2023,Sadiqabad,3640,3910,3775
12/3/2023,Sargodha,3950,4230,4090
12/3/2023,Sheikhupura,4100,4210,4155
12/3/2023,Vehari,4170,4210,4190
12/3/2023,Naushahro Feroze,3860,4030,3945
12/3/2023,Shikarpur,3620,4140,3880
12/3/2023,Sukkur,4140,4150,4145
12/3/2023,Dadu,3860,4390,4125
12/3/2023,Hyderabad,4150,4260,4205
12/3/2023,Ghotki,3660,4360,4010
12/3/2023,Jhuddo,3930,4010,3970
12/3/2023,Karachi,3900,4180,4040
12/3/2023,Kunri,3850,4140,3995
12/3/2023,Larkana,3880,4010,3945
12/3/2023,Mehrabpur,3730,4080,3905
12/3/2023,Mirpur Khas,3790,4180,3985
12/3/2023,Nawab Shah,4070,4120,4095
12/3/2023,Sakrand,3860,3990,3925
12/3/2023,Sanghar,4040,4170,4105
12/3/2023,ShahdadPur,3850,4130,3990
12/3/2023,Tando Allah Yar,3910,3990,3950
12/3/2023,Tando Muhammad Khan,3830,4010,3920
12/3/2023,Sibi,3760,4070,3915
12/3/2023,Quetta,3840,4100,3970
12/3/2023,Bara,3880,4320,4100
12/3/2023,Landi Kotal,3920,4310,4115
12/4/2023,Bunner,3610,3770,3690
12/4/2023,Mardan,3800,4040,3920
12/4/2023,Peshawar,3620,4110,3865
12/4/2023,Arifwala,3820,4020,3920
12/4/2023,Chowk Azam,3930,3960,3945
12/4/2023,Pattoki,3840,4390,4115
12/4/2023,Sahiwal,4040,4190,4115
12/4/2023,Gojra,4160,4270,4215
12/4/2023,Kamalia,3810,3950,3880
12/4/2023,Kasur,4070,4370,4220
12/4/2023,Shorkot,3760,3940,3850
12/4/2023,Sialkot,3920,4200,4060
12/4/2023,Ali Pur,4240,4390,4315
12/4/2023,AhmadPur Sharqia,3890,3970,3930
12/4/2023,Bahawalnagar,4340,4350,4345
12/4/2023,Bahawalpur,3810,4160,3985
